epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,539,,,,13478.4404296875
134,1619,,,13621.47265625,
134,1619,14076.73046875,,,
,540,,,,11989.400390625
,541,,,,14279.853515625
,542,,,,14648.7890625
,543,,,,13478.435546875
135,1631,,,13621.46875,
135,1631,14076.724609375,,,
,544,,,,11989.3955078125
,545,,,,14279.84765625
,546,,,,14648.783203125
,547,,,,13478.4287109375
136,1643,,,13621.4619140625,
136,1643,14076.71875,,,
137,1649,,14835.0830078125,,
,548,,,,11989.390625
,549,,,,14279.841796875
,550,,,,14648.77734375
,551,,,,13478.423828125
137,1655,,,13621.45703125,
137,1655,14076.71484375,,,
,552,,,,11989.3857421875
,553,,,,14279.8369140625
,554,,,,14648.771484375
,555,,,,13478.4189453125
138,1667,,,13621.451171875,
138,1667,14076.7109375,,,
,556,,,,11989.3828125
,557,,,,14279.8330078125
,558,,,,14648.76953125
,559,,,,13478.4169921875
139,1679,,,13621.44921875,
139,1679,14076.705078125,,,
,560,,,,11989.375
,561,,,,14279.82421875
,562,,,,14648.76171875
,563,,,,13478.408203125
140,1691,,,13621.44140625,
140,1691,14076.701171875,,,
141,1699,,13942.8544921875,,
,564,,,,11989.3720703125
,565,,,,14279.8203125
,566,,,,14648.7578125
,567,,,,13478.4033203125
141,1703,,,13621.4375,
141,1703,14076.6962890625,,,
,568,,,,11989.369140625
,569,,,,14279.8193359375
,570,,,,14648.755859375
,571,,,,13478.4013671875
142,1715,,,13621.435546875,
142,1715,14076.6904296875,,,
,572,,,,11989.3681640625
,573,,,,14279.81640625
,574,,,,14648.751953125
,575,,,,13478.3974609375
143,1727,,,13621.4326171875,
143,1727,14076.6884765625,,,
,576,,,,11989.3623046875
,577,,,,14279.80859375
,578,,,,14648.7470703125
,579,,,,13478.392578125
144,1739,,,13621.4267578125,
144,1739,14076.681640625,,,
145,1749,,13957.3603515625,,
,580,,,,11989.3544921875
,581,,,,14279.80078125
,582,,,,14648.73828125
,583,,,,13478.384765625
145,1751,,,13621.4189453125,
145,1751,14076.677734375,,,
,584,,,,11989.349609375
,585,,,,14279.7958984375
,586,,,,14648.734375
,587,,,,13478.3798828125
146,1763,,,13621.4140625,
146,1763,14076.6708984375,,,
,588,,,,11989.3447265625
,589,,,,14279.7900390625
,590,,,,14648.7265625
,591,,,,13478.373046875
147,1775,,,13621.4072265625,
147,1775,14076.66796875,,,
,592,,,,11989.33984375
,593,,,,14279.787109375
,594,,,,14648.72265625
,595,,,,13478.3681640625
148,1787,,,13621.404296875,
148,1787,14076.662109375,,,
149,1799,,12923.4814453125,,
,596,,,,11989.3369140625
,597,,,,14279.78125
,598,,,,14648.71875
,599,,,,13478.3642578125
149,1799,,,13621.3994140625,
149,1799,14076.6591796875,,,
,600,,,,11989.33203125
,601,,,,14279.77734375
,602,,,,14648.71484375
,603,,,,13478.359375
150,1811,,,13621.3955078125,
150,1811,14076.6513671875,,,
,604,,,,11989.328125
,605,,,,14279.771484375
,606,,,,14648.708984375
,607,,,,13478.353515625
151,1823,,,13621.3896484375,
151,1823,14076.6474609375,,,
,608,,,,11989.32421875
,609,,,,14279.7666015625
,610,,,,14648.7041015625
,611,,,,13478.3486328125
152,1835,,,13621.3837890625,
152,1835,14076.642578125,,,
,612,,,,11989.3203125
,613,,,,14279.76171875
,614,,,,14648.69921875
,615,,,,13478.34375
153,1847,,,13621.380859375,
153,1847,14076.6376953125,,,
154,1849,,14272.716796875,,
,616,,,,11989.3154296875
,617,,,,14279.755859375
,618,,,,14648.693359375
,619,,,,13478.3388671875
154,1859,,,13621.375,
154,1859,14076.6318359375,,,
,620,,,,11989.3095703125
,621,,,,14279.748046875
,622,,,,14648.6875
,623,,,,13478.3330078125
155,1871,,,13621.369140625,
155,1871,14076.6279296875,,,
,624,,,,11989.3056640625
,625,,,,14279.744140625
,626,,,,14648.68359375
,627,,,,13478.328125
156,1883,,,13621.3662109375,
156,1883,14076.6220703125,,,
,628,,,,11989.298828125
,629,,,,14279.73828125
,630,,,,14648.67578125
,631,,,,13478.3212890625
